Date;Price;Open;High;Low;Vol.;Change %
Jan 02, 2009;39.19;39.58;39.82;36.88;-;-2.03%
Jan 05, 2009;39.08;39.24;40.22;38.30;-;-0.28%
Jan 06, 2009;38.56;38.06;39.33;37.34;-;-1.33%
Jan 07, 2009;43.39;40.29;43.82;40.12;-;12.53%
Jan 08, 2009;42.56;43.38;44.60;42.56;-;-1.91%
Jan 09, 2009;42.82;41.18;43.13;41.05;-;0.61%
Jan 12, 2009;45.84;42.06;46.62;41.94;-;7.05%
Jan 13, 2009;43.27;45.84;47.08;43.23;-;-5.61%
Jan 14, 2009;49.14;46.24;51.55;46.14;-;13.57%
Jan 15, 2009;51.00;49.14;55.16;49.14;-;3.79%
Jan 16, 2009;46.11;51.00;51.00;45.96;-;-9.59%
Jan 20, 2009;56.65;50.12;57.36;49.27;-;22.86%
Jan 21, 2009;46.42;51.52;54.12;46.15;-;-18.06%
Jan 22, 2009;47.29;50.65;51.76;46.51;-;1.87%
Jan 23, 2009;47.27;50.39;51.11;46.43;-;-0.04%
Jan 26, 2009;45.69;47.89;47.93;44.29;-;-3.34%
Jan 27, 2009;42.25;45.11;45.93;42.20;-;-7.53%
Jan 28, 2009;39.66;42.25;42.25;38.09;-;-6.13%
Jan 29, 2009;42.63;41.34;43.03;41.12;-;7.49%
Jan 30, 2009;44.84;42.63;45.53;42.09;-;5.18%
Feb 02, 2009;45.52;49.42;49.54;45.26;-;1.52%
Feb 03, 2009;43.06;45.52;45.52;42.43;-;-5.40%
Feb 04, 2009;43.85;43.06;44.52;41.39;-;1.83%
Feb 05, 2009;43.73;43.83;46.23;42.32;-;-0.27%
Feb 06, 2009;43.37;43.71;43.71;41.20;-;-0.82%
Feb 09, 2009;43.64;45.40;45.45;43.04;-;0.62%
Feb 10, 2009;46.67;45.14;48.12;44.18;-;6.94%
Feb 11, 2009;44.53;46.67;46.67;44.50;-;-4.59%
Feb 12, 2009;41.25;44.52;47.58;41.21;-;-7.37%
Feb 13, 2009;42.93;41.60;43.02;40.73;-;4.07%
Feb 17, 2009;48.66;48.14;51.18;46.96;-;13.35%
Feb 18, 2009;48.46;48.66;50.29;46.00;-;-0.41%
Feb 19, 2009;47.08;48.54;48.54;44.81;-;-2.85%
Feb 20, 2009;49.30;47.08;52.04;47.08;-;4.72%
Feb 23, 2009;52.62;49.30;53.16;48.97;-;6.73%
Feb 24, 2009;45.49;52.50;52.56;44.28;-;-13.55%
Feb 25, 2009;44.67;45.73;47.23;42.84;-;-1.80%
Feb 26, 2009;44.66;43.75;45.33;41.91;-;-0.02%
Feb 27, 2009;46.35;44.66;47.34;44.46;-;3.78%
Mar 02, 2009;52.65;49.96;53.25;48.35;-;13.59%
Mar 03, 2009;50.93;52.65;52.76;48.50;-;-3.27%
Mar 04, 2009;47.56;48.02;48.83;45.02;-;-6.62%
Mar 05, 2009;50.17;47.56;51.95;46.98;-;5.49%
Mar 06, 2009;49.33;50.17;51.95;47.65;-;-1.67%
Mar 09, 2009;49.68;49.35;51.34;48.40;-;0.71%
Mar 10, 2009;44.37;49.68;49.68;43.88;-;-10.69%
Mar 11, 2009;43.61;43.35;44.26;42.36;-;-1.71%
Mar 12, 2009;41.18;43.53;43.98;40.75;-;-5.57%
Mar 13, 2009;42.36;40.99;43.52;40.03;-;2.87%
Mar 16, 2009;43.74;42.36;44.23;42.36;-;3.26%
Mar 17, 2009;40.80;44.23;44.59;40.74;-;-6.72%
Mar 18, 2009;40.06;41.14;42.39;38.98;-;-1.81%
Mar 19, 2009;43.68;40.06;44.17;38.79;-;9.04%
Mar 20, 2009;45.89;43.60;47.63;43.07;-;5.06%
Mar 23, 2009;43.23;45.89;45.89;41.27;-;-5.80%
Mar 24, 2009;42.93;43.24;44.00;41.63;-;-0.69%
Mar 25, 2009;42.25;42.35;44.20;40.81;-;-1.58%
Mar 26, 2009;40.36;42.25;42.25;40.17;-;-4.47%
Mar 27, 2009;41.04;40.36;42.13;40.36;-;1.68%
Mar 30, 2009;45.54;44.86;46.28;44.86;-;10.96%
Mar 31, 2009;44.14;45.54;45.54;42.27;-;-3.07%
Apr 01, 2009;42.28;45.42;45.60;42.26;-;-4.21%
Apr 02, 2009;42.04;42.28;42.68;40.30;-;-0.57%
Apr 03, 2009;39.70;42.03;42.03;39.64;-;-5.57%
Apr 06, 2009;40.93;41.96;43.02;40.83;-;3.10%
Apr 07, 2009;40.39;41.48;42.50;40.36;-;-1.32%
Apr 08, 2009;38.85;40.39;40.86;38.70;-;-3.81%
Apr 09, 2009;36.53;37.22;37.74;36.53;-;-5.97%
Apr 13, 2009;37.81;38.32;38.91;37.51;-;3.50%
Apr 14, 2009;37.67;37.95;38.50;36.88;-;-0.37%
Apr 15, 2009;36.17;37.85;38.06;36.10;-;-3.98%
