Date	Price	Open	High	Low	Vol.	Change %
Jan 02, 2009	1,980.77	1,941.03	1,980.77	1,924.31	13.99M	3.78%
Jan 05, 2009	2,004.32	2,003.17	2,016.78	1,969.69	22.55M	1.19%
Jan 06, 2009	1,997.28	2,007.54	2,008.06	1,978.99	20.96M	-0.35%
Jan 07, 2009	1,997.91	1,991.29	1,998.86	1,974.82	30.74M	0.03%
Jan 08, 2009	1,976.57	1,975.29	1,982.79	1,950.39	20.60M	-1.07%
Jan 09, 2009	1,973.95	1,979.56	1,996.48	1,959.68	18.19M	-0.13%
Jan 12, 2009	1,970.54	1,973.50	1,993.13	1,966.01	31.56M	-0.17%
Jan 13, 2009	1,963.02	1,973.31	1,975.53	1,951.09	44.09M	-0.38%
Jan 14, 2009	1,890.27	1,981.72	1,981.80	1,880.30	68.52M	-3.71%
Jan 15, 2009	1,856.11	1,885.58	1,892.83	1,839.58	57.43M	-1.81%
Jan 16, 2009	1,851.65	1,883.90	1,898.59	1,851.65	45.80M	-0.24%
Jan 19, 2009	1,839.94	1,883.96	1,899.33	1,821.68	38.97M	-0.63%
Jan 20, 2009	1,802.74	1,847.62	1,851.24	1,796.05	38.96M	-2.02%
Jan 21, 2009	1,794.97	1,782.48	1,806.36	1,750.03	63.27M	-0.43%
Jan 22, 2009	1,805.38	1,837.67	1,853.57	1,802.04	43.37M	0.58%
Jan 23, 2009	1,834.19	1,813.95	1,840.32	1,794.97	38.66M	1.60%
Jan 26, 2009	1,884.03	1,846.32	1,892.11	1,839.20	45.02M	2.72%
Jan 27, 2009	1,870.39	1,892.64	1,892.64	1,853.90	45.71M	-0.72%
Jan 28, 2009	1,925.48	1,894.35	1,925.48	1,884.18	69.26M	2.95%
Jan 29, 2009	1,893.94	1,928.90	1,928.90	1,888.91	43.16M	-1.64%
Jan 30, 2009	1,900.09	1,887.48	1,909.95	1,881.90	23.15M	0.32%
Feb 02, 2009	1,858.77	1,895.63	1,895.63	1,845.90	82.86M	-2.17%
Feb 03, 2009	1,883.81	1,869.09	1,883.87	1,859.58	53.81M	1.35%
Feb 04, 2009	1,906.49	1,896.81	1,916.22	1,877.55	63.51M	1.20%
Feb 05, 2009	1,907.22	1,879.07	1,910.43	1,872.81	41.36M	0.04%
Feb 06, 2009	1,916.88	1,918.86	1,927.11	1,895.25	58.71M	0.51%
Feb 09, 2009	1,927.25	1,909.88	1,928.97	1,897.00	69.13M	0.54%
Feb 10, 2009	1,884.26	1,916.48	1,930.75	1,884.26	59.86M	-2.23%
Feb 11, 2009	1,884.02	1,869.66	1,884.74	1,858.34	15.26M	-0.01%
Feb 12, 2009	1,843.00	1,859.21	1,859.21	1,829.90	91.70M	-2.18%
Feb 13, 2009	1,832.24	1,860.42	1,871.43	1,827.28	41.75M	-0.58%
Feb 16, 2009	1,823.78	1,826.31	1,840.38	1,816.52	28.65M	-0.46%
Feb 17, 2009	1,783.23	1,816.04	1,816.04	1,778.53	35.07M	-2.22%
Feb 18, 2009	1,756.19	1,786.65	1,790.94	1,738.85	43.32M	-1.52%
Feb 19, 2009	1,783.20	1,768.04	1,790.28	1,756.62	44.87M	1.54%
Feb 20, 2009	1,740.36	1,760.97	1,771.88	1,736.88	42.73M	-2.40%
Feb 23, 2009	1,725.58	1,753.75	1,760.96	1,719.80	31.14M	-0.85%
Feb 24, 2009	1,697.60	1,711.60	1,715.53	1,681.39	32.58M	-1.62%
Feb 25, 2009	1,681.13	1,724.39	1,726.34	1,665.24	36.87M	-0.97%
Feb 26, 2009	1,688.15	1,699.67	1,699.67	1,667.38	45.69M	0.42%
Feb 27, 2009	1,696.58	1,678.64	1,696.58	1,659.05	67.97M	0.50%
Mar 02, 2009	1,610.56	1,670.19	1,674.52	1,609.18	83.86M	-5.07%
Mar 03, 2009	1,566.27	1,606.79	1,620.95	1,566.27	64.66M	-2.75%
Mar 04, 2009	1,584.19	1,585.89	1,593.38	1,562.46	52.82M	1.14%
Mar 05, 2009	1,552.18	1,600.67	1,602.43	1,551.17	57.41M	-2.02%
Mar 06, 2009	1,527.27	1,566.02	1,583.89	1,523.47	78.89M	-1.60%
Mar 09, 2009	1,553.05	1,567.41	1,571.81	1,534.19	88.38M	1.69%
Mar 10, 2009	1,616.51	1,564.31	1,620.91	1,562.32	50.44M	4.09%
Mar 11, 2009	1,647.25	1,625.27	1,662.68	1,616.68	56.22M	1.90%
Mar 12, 2009	1,671.04	1,657.86	1,671.04	1,642.47	46.98M	1.44%
Mar 13, 2009	1,661.76	1,697.95	1,716.94	1,657.65	48.94M	-0.56%
Mar 16, 2009	1,707.74	1,701.87	1,718.58	1,692.66	44.78M	2.77%
Mar 17, 2009	1,700.97	1,701.96	1,716.60	1,687.64	29.01M	-0.40%
Mar 18, 2009	1,698.43	1,724.94	1,727.91	1,681.48	37.26M	-0.15%
Mar 19, 2009	1,689.64	1,714.89	1,725.83	1,684.53	58.25M	-0.52%
Mar 20, 2009	1,708.66	1,683.24	1,714.10	1,678.91	70.31M	1.13%
Mar 23, 2009	1,754.02	1,743.50	1,754.02	1,717.27	48.18M	2.65%
Mar 24, 2009	1,749.29	1,777.30	1,780.88	1,737.16	46.73M	-0.27%
Mar 25, 2009	1,756.96	1,744.87	1,787.13	1,735.79	38.14M	0.44%
Mar 26, 2009	1,783.16	1,777.28	1,784.21	1,760.99	32.90M	1.49%
Mar 27, 2009	1,751.56	1,781.88	1,788.62	1,749.15	29.51M	-1.77%
Mar 30, 2009	1,700.44	1,732.27	1,734.62	1,700.44	31.26M	-2.92%
Mar 31, 2009	1,748.74	1,713.55	1,748.74	1,706.15	45.15M	2.84%
Apr 01, 2009	1,772.84	1,750.79	1,774.87	1,724.88	38.12M	1.38%
Apr 02, 2009	1,831.13	1,800.83	1,832.39	1,795.04	47.98M	3.29%
Apr 03, 2009	1,808.37	1,822.63	1,838.35	1,806.99	37.80M	-1.24%
Apr 06, 2009	1,800.15	1,832.86	1,849.51	1,797.04	40.38M	-0.45%
Apr 07, 2009	1,765.51	1,804.54	1,815.95	1,765.51	31.12M	-1.92%
Apr 08, 2009	1,770.66	1,754.48	1,788.54	1,747.26	30.83M	0.29%
Apr 09, 2009	1,807.14	1,799.83	1,820.70	1,790.24	35.03M	2.06%
Apr 14, 2009	1,822.32	1,839.27	1,842.97	1,808.75	61.58M	0.84%
Apr 15, 2009	1,848.33	1,815.82	1,850.07	1,815.32	30.73M	1.43%
Apr 16, 2009	1,873.87	1,856.43	1,885.82	1,845.36	39.54M	1.38%
Apr 17, 2009	1,923.46	1,905.91	1,934.98	1,901.92	61.16M	2.65%
Apr 20, 2009	1,856.69	1,929.39	1,935.69	1,850.42	45.61M	-3.47%
Apr 21, 2009	1,884.15	1,852.39	1,908.24	1,834.25	48.69M	1.48%
Apr 22, 2009	1,903.89	1,891.90	1,906.81	1,866.57	48.16M	1.05%
Apr 23, 2009	1,905.37	1,904.06	1,923.88	1,890.06	46.74M	0.08%
Apr 24, 2009	1,955.82	1,920.46	1,955.82	1,913.27	46.94M	2.65%
Apr 27, 2009	1,934.02	1,931.62	1,936.61	1,910.37	47.10M	-1.11%
Apr 28, 2009	1,920.82	1,907.11	1,931.00	1,889.51	20.15M	-0.68%
Apr 29, 2009	1,950.98	1,924.47	1,956.26	1,924.47	16.75M	1.57%
Apr 30, 2009	1,953.35	1,969.34	1,997.08	1,948.54	84.98M	0.12%
May 04, 2009	1,993.47	1,982.46	1,996.84	1,974.34	36.37M	2.05%
May 05, 2009	1,969.62	2,010.62	2,014.67	1,969.62	48.60M	-1.20%
May 06, 2009	2,024.90	1,989.53	2,030.95	1,986.72	55.94M	2.81%
May 07, 2009	2,073.54	2,083.11	2,119.79	2,062.37	110.30M	2.40%
May 08, 2009	2,126.23	2,102.48	2,127.55	2,094.57	91.31M	2.54%
May 11, 2009	2,085.68	2,138.67	2,139.46	2,062.35	60.17M	-1.91%
May 12, 2009	2,049.45	2,065.10	2,092.41	2,039.16	47.12M	-1.74%
May 13, 2009	2,016.37	2,064.61	2,067.13	2,008.69	65.83M	-1.61%
May 14, 2009	1,978.37	2,020.75	2,040.80	1,970.88	61.80M	-1.88%
May 15, 2009	2,005.33	2,007.40	2,010.14	1,979.99	62.42M	1.36%
